Slide,Title,Presenter,Content,Notes
2,O QUE SÃO ARBOVIROSES?,,DESTAQUE: ARBOVÍRUS = ARthropod-BOrne VIRUS Vírus transmitidos por artrópodes,"Fontes: Weaver Reisen, 2010. Annu Rev Entomol; Gould et al., 2017. Lancet"
3,CLASSIFICAÇÃO TAXONÔMICA,,"FLAVIVIRIDAE

TOGAVIRIDAE

PERIBUNYAVIRIDAE

PHENUIVIRIDAE

DESTAQUE: 134 ESPÉCIES AFETAM HUMANOS GLOBALMENTE","Fontes: Calisher et al., 1989. Am J Trop Med Hyg; ICTV Master Species List 2023"
4,CENÁRIO EPIDEMIOLÓGICO GLOBAL 2024,,"DESTAQUE: DADOS OMS (Jan-Abr 2024) 7,6M Casos reportados","Fontes: WHO Weekly Epidemiological Record, 2024; PAHO Health Information Platform"
5,PANORAMA BRASIL 2025 (SE 01-04),,"FEBRE AMARELA

DESTAQUE: DENGUE 139.241 casos (68,6/100 mil hab.) 21 óbitos confirmados, 160 em investigação Estados críticos: Acre, São Paulo, Mato Grosso Sorotipos: DENV-1, DENV-2, DENV-3 (aumento)

DESTAQUE: OROPOUCHE 2.791 casos (↑74% vs 2024) Primeiras mortes mundiais registradas ES (95%), RJ (99), MG (30 casos)

DESTAQUE: CHIKUNGUNYA 8.498 casos (4,2/100 mil hab.) 11 óbitos em investigação Regiões: Nordeste, Sudeste, Centro-Oeste",Fontes: Brasil. MS. CIEVS. Boletim COE Arboviroses SE 04/2025; SIVEP-DDA
6,POR QUE EMERGÊNCIA GLOBAL?,,"MUDANÇAS CLIMÁTICAS:
• +1,1°C temperatura global (1880-2020)
• Expansão zona tropical 2-5° latitude

URBANIZAÇÃO DESCONTROLADA:
• 68% população urbana até 2050
• +300% criadouros artificiais

ADAPTAÇÃO VETORIAL:
• 60% populações resistentes
• Expansão geográfica

GLOBALIZAÇÃO:
• Dispersão intercontinental
• Viagens internacionais

EVOLUÇÃO VIRAL:
• Novas cepas virulentas
• Escape imunológico

DESTAQUE: CONVERGÊNCIA = EXPLOSÃO EPIDÊMICA","Fontes: Ryan et al., 2019. Nature Rev Microbiol; IPCC AR6 Climate Report, 2023"
7,FOCO: O PRINCIPAL VETOR,Transição para ALUNO 2,DESTAQUE: AEDES AEGYPTI O mosquito mais eficaz do mundo,"Fontes: Powell Tabachnick, 2013. Trends Parasitol; Kraemer et al., 2015. eLife"
8,AEDES AEGYPTI: ANÁLISE MORFOLÓGICA,‍ ALUNO 2 - Aedes aegypti: Análise Vetorial Duração: 2:30 - 5:00,"CARACTERÍSTICAS FÍSICAS:
• Tamanho: 4-7mm (menor que moeda 1 real)
• Peso: 2-3mg
• Volume sangue/repasto: 2-5μL
• Raio de voo: 100-200m típico

IDENTIFICAÇÃO DIAGNÓSTICA:
• Listras branco-prateadas (patas + tórax)
• Probóscide serrilhada
• Palpos curtos () vs longos (Anopheles)
• Asas transparentes sem manchas
• Abdome: distensão 3x para sangue

DESTAQUE: COMPETÊNCIA ÚNICA: 4 vírus simultâneos","Fontes: Consoli Lourenço-de-Oliveira, 1994. Principais mosquitos; Christophers, 1960. Aedes aegypti"
9,BIOECOLOGIA: PADRÕES COMPORTAMENTAIS,,"ATIVIDADE CIRCADIANA:
• 06h-10h: Pico matinal (máxima atividade)
• 10h-15h: Repouso diurno
• 15h-19h: Pico vespertino
• Noturno: Inativo ( Anopheles)

PREFERÊNCIAS AMBIENTAIS:
• ENDOFILIA: Interior das residências
• ANTROPOFILIA: 95% preferência sangue humano
• TERMOFILIA: Zona ótima 25-30°C
• HIGROFILIA: Umidade >60%

DIMORFISMO SEXUAL:
• Fêmeas: Hematófagas (proteínas → ovos)
• Machos: Nectarívoros (carboidratos → energia)

DESTAQUE: DETECÇÃO HOSPEDEIRO: CO₂, calor, ácido lático","Fontes: Scott et al., 2006. PLoS Med; Takken Verhulst, 2013. Annu Rev Entomol"
10,CICLO BIOLÓGICO: METAMORFOSE COMPLETA,,"1⃣ OVO (1-2 dias):
• Resistência: até 450 dias sem água
• Postura: 50-150 ovos/ciclo
• Local: superfícies próximas à água

2⃣ LARVA (3-5 dias):
• 4 estádios de desenvolvimento
• Alimentação: filtradora (detritos, bactérias)
• Respiração: sifão superficial
• Desenvolvimento: temperatura dependente

3⃣ PUPA (1-2 dias):
• Não se alimenta
• Apenas respiração e metamorfose
• Natação limitada (escape predadores)

4⃣ ADULTO:
• : 30-45 dias
• : 15-20 dias
• Maturação sexual: 2-3 dias
• Ciclo gonotrófico: 2-3 dias
• Dispersão ativa: até 800m

DESTAQUE: CRÍTICO: Todos os estágios aquáticos obrigatórios

DESTAQUE: DURAÇÃO TOTAL: 7-10 dias (condições ótimas)","Fontes: Forattini, 2002. Culicidologia Médica; Yang et al., 2009. PLoS Negl Trop Dis"
11,CRIADOUROS: ANÁLISE QUANTITATIVA,,"DESTAQUE: PARÂMETROS CRÍTICOS Volume mínimo: 1mL água pH ótimo: 6,5-8,5 Temperatura: 20-35°C Distância casas: Água limpa preferencial

DESTAQUE: DISTRIBUIÇÃO NACIONAL: 3.587 municípios com Aedes (89% do Brasil)","Fontes: Brasil. MS. LIRAa 2023; Honório et al., 2003. Mem Inst Oswaldo Cruz"
